Gender,Region,Age Group,Tops,Bottoms,Shoes,Headwear,Accessories
Male,3,4,40721,3916,5876,532,2587
Male,3,1,491,10473,11532,744,5611
Female,3,4,27329,1449,1947,2436,204
Female,3,3,5264,3683,5005,1057,2024
Male,3,4,4098,29892,26866,2616,17740
Male,3,4,5417,9933,10487,38,7572
Female,3,2,13779,1970,1648,596,227
Female,3,4,6137,5360,8040,129,3084
Male,3,1,8590,3045,7854,96,4095
Male,3,4,35942,38369,59598,3254,26701
Male,3,3,7823,6245,6544,4154,4074
Male,3,4,9396,11601,15775,2896,7677
Female,3,3,4760,1227,3250,3724,1247
Male,3,4,85,20959,45828,36,24231
Female,3,1,9,1534,7417,175,3468
Male,3,3,19913,6759,13462,1256,5141
Female,3,5,2446,7260,3993,5870,788
Female,3,1,8352,2820,1293,779,656
Female,3,4,16705,2037,3202,10643,116
Female,3,5,18291,1266,21042,5373,4173
Female,3,1,4420,5139,2661,8872,1321
Male,3,2,19899,5332,8713,8132,764
Male,3,4,8190,6343,9794,1285,1901
Female,3,3,20398,1137,3,4407,3
Female,3,3,717,3587,6532,7530,529
Male,3,3,12205,12697,28540,869,12034
Female,3,1,10766,1175,2067,2096,301
Female,3,4,1640,3259,3655,868,1202
Female,3,2,7005,829,3009,430,610
Male,3,1,219,9540,14403,283,7818
Male,3,5,10362,9232,11009,737,3537
Female,3,3,20874,1563,1783,2320,550
Male,3,1,11867,3327,4814,1178,3837
Male,3,5,16117,46197,92780,1026,40827
Male,3,3,22925,73498,32114,987,20070
Female,3,5,43265,5025,8117,6312,1579
Female,3,1,7864,542,4042,9735,165
Female,3,5,24904,3836,5330,3443,454
Female,3,2,11405,596,1638,3347,69
Female,3,3,12754,2762,2530,8693,627
Male,3,5,9198,27472,32034,3232,18906
Female,3,5,11314,3090,2062,35009,71
Male,3,1,5626,12220,11323,206,5038
Female,3,2,3,2920,6252,440,223
Male,3,1,23,2616,8118,145,3874
Female,3,1,403,254,610,774,54
Female,3,1,503,112,778,895,56
Female,3,1,9658,2182,1909,5639,215
Male,3,5,11594,7779,12144,3252,8035
Male,3,4,1420,10810,16267,1593,6766
Male,3,4,2932,6459,7677,2561,4573
Female,3,5,56082,3504,8906,18028,1480
Female,3,2,14100,2132,3445,1336,1491
Female,3,4,15587,1014,3970,910,139
Male,3,4,1454,6337,10704,133,6830
Male,3,4,8797,10646,14886,2471,8969
Male,3,4,1531,8397,6981,247,2505
Male,3,1,1406,16729,28986,673,836
Female,3,4,11818,1648,1694,2276,169
Male,3,4,12579,11114,17569,805,6457
Female,3,5,19046,2770,2469,8853,483
Female,3,4,14438,2295,1733,3220,585
Female,3,4,18044,1080,2000,2555,118
Female,3,2,11134,793,2988,2715,276
Female,3,1,11173,2521,3355,1517,310
Female,3,3,6990,3880,5380,1647,319
Female,3,3,20049,1891,2362,5343,411
Female,3,2,8258,2344,2147,3896,266
Female,3,3,17160,1200,3412,2417,174
Female,3,1,4020,3234,1498,2395,264
Female,3,3,12212,201,245,1991,25
Male,3,1,11170,10769,8814,2194,1976
Female,3,4,36050,1642,2961,4787,500
Female,3,3,76237,3473,7102,16538,778
Female,3,2,19219,1840,1658,8195,349
Male,3,5,21465,7243,10685,880,2386
Female,3,1,140,8847,3823,142,1062
Female,3,4,42312,926,1510,1718,410
Female,3,3,7149,2428,699,6316,395
Female,3,1,2101,589,314,346,70
Female,3,2,14903,2032,2479,576,955
Female,3,2,9434,1042,1235,436,256
Female,3,2,7388,1882,2174,720,47
Female,3,2,6300,1289,2591,1170,199
Female,3,4,4625,8579,7030,4575,2447
Female,3,1,3087,8080,8282,661,721
Female,3,5,13537,4257,5034,155,249
Female,3,3,5387,4979,3343,825,637
Female,3,5,17623,4280,7305,2279,960
Female,3,4,30379,13252,5189,321,51
Female,3,1,37036,7152,8253,2995,20
Female,3,1,10405,1596,1096,8425,399
Female,3,1,18827,3677,1988,118,516
Male,3,5,22039,8384,34792,42,12591
Female,3,2,7769,1936,2177,926,73
Female,3,2,9203,3373,2707,1286,1082
Female,3,2,5924,584,542,4052,283
Female,3,4,31812,1433,1651,800,113
Female,3,3,16225,1825,1765,853,170
Female,3,4,1289,3328,2022,531,255
Female,3,1,18840,1371,3135,3001,352
Female,3,4,3463,9250,2368,779,302
Female,3,1,622,55,137,75,7
Male,3,5,1989,10690,19460,233,11577
Male,3,5,3830,5291,14855,317,6694
Female,3,2,17773,1366,2474,3378,811
Male,3,4,2861,6570,9618,930,4004
Male,3,1,355,7704,14682,398,8077
Male,3,5,1725,3651,12822,824,4424
Female,3,5,12434,540,283,1092,3
Female,3,2,15177,2024,3810,2665,232
Male,3,2,5531,15726,26870,2367,13726
Male,3,1,5224,7603,8584,2540,3674
Male,3,5,15615,12653,19858,4425,7108
Male,3,5,4822,6721,9170,993,4973
Female,3,2,2926,3195,3268,405,1680
Female,3,2,5809,735,803,1393,79
Female,3,3,5414,717,2155,2399,69
Male,3,1,260,8675,13430,1116,7015
Male,3,5,200,25862,19816,651,8773
Female,3,2,955,5479,6536,333,2840
Male,3,3,514,7677,19805,937,9836
Female,3,4,286,1208,5241,2515,153
Male,3,4,2343,7845,11874,52,4196
Female,3,1,45640,6958,6536,7368,1532
Female,3,5,12759,7330,4533,1752,20
Female,3,2,11002,7075,4945,1152,120
Female,3,5,3157,4888,2500,4477,273
Female,3,5,12356,6036,8887,402,1382
Female,3,5,112151,29627,18148,16745,4948
Female,3,1,694,8533,10518,443,6907
Female,3,5,36847,43950,20170,36534,239
Female,3,1,327,918,4710,74,334
Female,3,1,8170,6448,1139,2181,58
Female,3,3,3009,521,854,3470,949
Female,3,1,2438,8002,9819,6269,3459
Male,3,2,8040,7639,11687,2758,6839
Male,3,4,834,11577,11522,275,4027
Female,3,1,16936,6250,1981,7332,118
Female,3,1,13624,295,1381,890,43
Female,3,2,5509,1461,2251,547,187
Male,3,2,180,3485,20292,959,5618
Female,3,3,7107,1012,2974,806,355
Female,3,4,17023,5139,5230,7888,330
Female,1,5,30624,7209,4897,18711,763
Male,1,4,2427,7097,10391,1127,4314
Female,1,2,11686,2154,6824,3527,592
Female,1,2,9670,2280,2112,520,402
Male,1,3,3067,13240,23127,3941,9959
Male,1,4,4484,14399,24708,3549,14235
Female,1,5,25203,11487,9490,5065,284
Female,1,1,583,685,2216,469,954
Female,1,4,1956,891,5226,1383,5
Male,1,2,1107,11711,23596,955,9265
Female,1,1,6373,780,950,878,288
Male,1,1,2541,4737,6089,2946,5316
Female,1,3,1537,3748,5838,1859,3381
Male,1,3,5550,12729,16767,864,12420
Female,1,4,18567,1895,1393,1801,244
Male,1,5,12119,28326,39694,4736,19410
Female,1,4,7291,1012,2062,1291,240
Female,1,3,3317,6602,6861,1329,3961
Male,1,3,2362,6551,11364,913,5957
Female,1,5,2806,10765,15538,1374,5828
Male,1,2,2532,16599,36486,179,13308
Female,1,3,18044,1475,2046,2532,130
Male,1,5,18,7504,15205,1285,4797
Female,1,1,4155,367,1390,2306,86
Female,1,3,14755,899,1382,1765,56
Female,1,1,5396,7503,10646,91,4167
Female,1,2,5041,1115,2856,7496,256
Male,1,4,2790,2527,5265,5612,788
Female,1,2,7274,659,1499,784,70
Female,1,3,12680,3243,4157,660,761
Male,1,4,20782,5921,9212,1759,2568
Female,1,2,4042,2204,1563,2286,263
Female,1,1,1869,577,572,950,4762
Female,1,3,8656,2746,2501,6845,694
Male,1,5,11072,5989,5615,8321,955
Female,1,2,2344,10678,3828,1439,1566
Female,1,3,25962,1780,3838,638,284
Female,1,1,964,4984,3316,937,409
Female,1,5,15603,2703,3833,4260,325
Female,1,1,1838,6380,2824,1218,1216
Female,1,1,8635,820,3047,2312,415
Female,1,3,18692,3838,593,4634,28
Female,1,1,7363,475,585,1112,72
Female,1,5,47493,2567,3779,5243,828
Female,1,5,22096,3575,7041,11422,343
Female,1,3,24929,1801,2475,2216,412
Female,1,2,18226,659,2914,3752,586
Female,1,5,11210,3576,5119,561,1682
Female,1,4,6202,7775,10817,1183,3143
Male,1,5,3062,6154,13916,230,8933
Female,1,2,8885,2428,1777,1777,430
Female,1,2,13569,346,489,2077,44
Female,1,2,15671,5279,2406,559,562
Female,1,1,8040,3795,2070,6340,918
Female,1,2,3191,1993,1799,1730,234
Male,1,5,6134,23133,33586,6746,18594
Female,1,4,6623,1860,4740,7683,205
Female,1,4,29526,7961,16966,432,363
Female,1,5,10379,17972,4748,4686,1547
Female,1,2,31614,489,1495,3242,111
Female,1,2,11092,5008,5249,453,392
Female,1,3,8475,1931,1883,5004,3593
Female,1,5,56083,4563,2124,6422,730
Female,1,3,53205,4959,7336,3012,967
Female,1,2,9193,4885,2157,327,780
Female,1,1,7858,1110,1094,6818,49
Female,1,2,23257,1372,1677,982,429
Female,1,2,2153,1115,6684,4324,2894
Male,1,4,1073,9679,15445,61,5980
Female,1,5,5909,23527,13699,10155,830
Male,1,5,572,9763,22182,2221,4882
Female,1,5,20893,1222,2576,3975,737
Male,1,2,11908,8053,19847,1069,6374
Female,1,1,15218,258,1138,2516,333
Female,1,1,4720,1032,975,5500,197
Female,1,4,2083,5007,1563,1120,147
Female,1,3,514,8323,6869,529,93
Female,3,4,36817,3045,1493,4802,210
Female,3,3,894,1703,1841,744,759
Female,3,2,680,1610,223,862,96
Female,3,5,27901,3749,6964,4479,603
Female,3,1,9061,829,683,16919,621
Female,3,4,11693,2317,2543,5845,274
Male,3,4,17360,6200,9694,1293,3620
Female,3,3,3366,2884,2431,977,167
Male,3,4,12238,7108,6235,1093,2328
Female,3,4,49063,3965,4252,5970,1041
Female,3,4,25767,3613,2013,10303,314
Female,3,5,68951,4411,12609,8692,751
Female,3,1,40254,640,3600,1042,436
Female,3,1,7149,2247,1242,1619,1226
Female,3,3,15354,2102,2828,8366,386
Female,3,1,16260,594,1296,848,445
Female,3,1,42786,286,471,1388,32
Female,3,4,2708,2160,2642,502,965
Female,3,2,6022,3354,3261,2507,212
Female,3,3,2838,3086,4329,3838,825
Male,2,3,3996,11103,12469,902,5952
Female,2,4,21273,2013,6550,909,811
Male,2,1,7588,1897,5234,417,2208
Female,2,3,19087,1304,3643,3045,710
Male,2,2,8090,3199,6986,1455,3712
Male,2,3,6758,4560,9965,934,4538
Female,2,1,444,879,2060,264,290
Male,2,4,16448,6243,6360,824,2662
Male,2,1,5283,13316,20399,1809,8752
Male,2,2,2886,5302,9785,364,6236
Male,2,1,2599,3688,13829,492,10069
Male,2,5,161,7460,24773,617,11783
Male,2,1,243,12939,8852,799,3909
Male,2,4,6468,12867,21570,1840,7558
Female,2,3,17327,2374,2842,1149,351
Female,2,2,6987,1020,3007,416,257
Male,2,3,918,20655,13567,1465,6846
Female,2,3,7034,1492,2405,12569,299
Female,2,1,29635,2335,8280,3046,371
Male,2,1,2137,3737,19172,1274,17120
Female,2,1,9784,925,2405,4447,183
Female,2,4,10617,1795,7647,1483,857
Male,2,5,1479,14982,11924,662,3891
Female,2,3,7127,1375,2201,2679,83
Female,2,4,1182,3088,6114,978,821
Female,2,1,11800,2713,3558,2121,706
Male,2,4,9759,25071,17645,1128,12408
Female,2,3,1774,3696,2280,514,275
Female,2,3,9155,1897,5167,2714,228
Female,2,1,15881,713,3315,3703,1470
Female,2,2,13360,944,11593,915,1679
Female,2,3,25977,3587,2464,2369,140
Female,2,5,32717,16784,13626,60869,1272
Female,2,3,4414,1610,1431,3498,387
Female,2,2,542,899,1664,414,88
Female,2,4,16933,2209,3389,7849,210
Female,2,3,5113,1486,4583,5127,492
Female,2,3,9790,1786,5109,3570,182
Male,2,3,11223,14881,26839,1234,9606
Female,2,5,22321,3216,1447,2208,178
Male,2,3,8565,4980,67298,131,38102
Male,2,5,16823,928,2743,11559,332
Male,2,5,27082,6817,10790,1365,4111
Female,2,3,13970,1511,1330,650,146
Female,2,3,9351,1347,2611,8170,442
Female,2,2,3,333,7021,15601,15
Female,2,4,2617,1188,5332,9584,573
Male,3,4,381,4025,9670,388,7271
Male,3,5,2320,5763,11238,767,5162
Female,3,4,255,5758,5923,349,4595
Male,3,1,1689,6964,26316,1456,15469
Female,3,2,3043,1172,1763,2234,217
Female,3,1,1198,2602,8335,402,3843
Male,3,3,2771,6939,15541,2693,6600
Male,3,3,27380,7184,12311,2809,4621
Female,3,2,3428,2380,2028,1341,1184
Male,3,2,5981,14641,20521,2005,12218
Female,3,3,3521,1099,1997,1796,173
Male,3,5,1210,10044,22294,1741,12638
Female,3,1,608,1106,1533,830,90
Male,3,3,117,6264,21203,228,8682
Female,3,5,14039,7393,2548,6386,1333
Female,3,1,190,727,2012,245,184
Female,3,2,22686,134,218,3157,9
Male,3,1,37,1275,22272,137,6747
Female,3,5,759,18664,1660,6114,536
Female,3,3,796,5878,2109,340,232
Female,3,2,19746,2872,2006,2601,468
Female,3,2,4734,607,864,1206,159
Female,3,3,2121,1601,2453,560,179
Female,3,1,4627,997,4438,191,1335
Female,3,2,2615,873,1524,1103,514
Male,3,5,4692,6128,8025,1619,4515
Female,3,2,9561,2217,1664,1173,222
Female,3,2,3477,894,534,1457,252
Female,3,2,22335,1196,2406,2046,101
Female,3,1,6211,337,683,1089,41
Male,3,5,39679,3944,4955,1364,523
Female,3,3,20105,1887,1939,8164,716
Female,3,5,3884,3801,1641,876,397
Male,3,5,15076,6257,7398,1504,1916
Female,3,2,6338,2256,1668,1492,311
Female,3,1,5841,1450,1162,597,476
Male,3,4,3136,8630,13586,5641,4666
Female,3,4,38793,3154,2648,1034,96
Female,3,3,3225,3294,1902,282,68
Male,3,1,4048,5164,10391,130,813
Female,3,1,28257,944,2146,3881,600
Female,3,2,17770,4591,1617,9927,246
Female,3,5,34454,7435,8469,2540,1711
Female,3,2,1821,1364,3450,4006,397
Female,3,5,10683,21858,15400,3635,282
Female,3,3,11635,922,1614,2583,192
Female,3,3,1206,3620,2857,1945,353
Female,3,3,20918,1916,1573,1960,231
Female,3,2,9785,848,1172,1677,200
Female,3,2,9385,1530,1422,3019,227
Female,3,3,3352,1181,1328,5502,311
Female,3,4,2647,2761,2313,907,95
Female,3,2,518,4180,3600,659,122
Female,3,3,23632,6730,3842,8620,385
Female,3,2,12377,865,3204,1398,149
Female,3,1,9602,1316,1263,2921,841
Male,3,5,4515,11991,9345,2644,3378
Female,3,3,11535,1666,1428,6838,64
Female,3,1,11442,1032,582,5390,74
Female,3,2,9612,577,935,1601,469
Female,3,3,4446,906,1238,3576,153
Female,3,4,27167,2801,2128,13223,92
Female,3,2,26539,4753,5091,220,10
Female,3,1,25606,11006,4604,127,632
Female,3,3,18073,4613,3444,4324,914
Female,3,2,6884,1046,1167,2069,593
Female,3,3,25066,5010,5026,9806,1092
Male,3,2,7362,12844,18683,2854,7883
Male,3,2,8257,3880,6407,1646,2730
Female,3,5,8708,3634,6100,2349,2123
Female,3,4,6633,2096,4563,1389,1860
Female,3,5,2126,3289,3281,1535,235
Female,3,1,97,3605,12400,98,2970
Female,3,5,4983,4859,6633,17866,912
Female,3,1,5969,1990,3417,5679,1135
Male,3,4,7842,6046,8552,1691,3540
Male,3,3,4389,10940,10908,848,6728
Female,3,3,5065,5499,11055,364,3485
Male,3,3,660,8494,18622,133,6740
Female,3,4,8861,3783,2223,633,1580
Female,3,4,4456,5266,13227,25,6818
Male,3,4,17063,4847,9053,1031,3415
Female,3,4,26400,1377,4172,830,948
Male,3,2,17565,3686,4657,1059,1803
Male,3,1,16980,2884,12232,874,3213
Female,3,4,11243,2408,2593,15348,108
Female,3,4,13134,9347,14316,3141,5079
Female,3,3,31012,16687,5429,15082,439
Female,3,1,3047,5970,4910,2198,850
Female,3,5,8607,1750,3580,47,84
Female,3,4,3097,4230,16483,575,241
Female,3,4,8533,5506,5160,13486,1377
Female,3,2,21117,1162,4754,269,1328
Female,3,4,1982,3218,1493,1541,356
Female,3,3,16731,3922,7994,688,2371
Female,3,5,29703,12051,16027,13135,182
Female,3,5,39228,1431,764,4510,93
Male,3,4,14531,15488,30243,437,14841
Female,3,4,10290,1981,2232,1038,168
Female,3,1,2787,1698,2510,65,477
